Contig	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
KW1-S21__k141_1793731	15.281789	24.029634	17.83028	20.53502	21.591057	22.838902	21.309807
KW1-S21__k141_6933563	9.80905	10.619093	10.485728	18.902403	15.843629	21.30069	20.360405
KW1-S21__k141_5277179	0.6114551	2.743808	2.4651704	1.6044892	1.6702787	2.7113004	2.8513932
KW1-S05__k141_2494132	0.32596043	0.782305	1.7927823	0.48894063	0.48894063	0.97788125	1.7927823
KW1-S21__k141_7117926	0.7173792	0.38645196	0.15546918	0.57745695	0.53470296	1.2509717	2.1960022
KW1-S21__k141_10479413	0	0.37004405	0.5348018	0.12334802	0.12334802	0.49339208	1.7180617
A5-S04__k141_9597178	0.4347826	1.1387163	0.57556933	0.8695652	1.0144928	2.1708074	0.7246377
KW1-S05__k141_2518548	0.8337574	2.7167091	3.6505513	1.5318066	2.2807465	2.9253604	1.1857506
KW1-S08__k141_363645	1.9378752	2.845138	2.3268306	11.078932	6.134154	6.532113	5.142857
KW1-S15__k141_7323376	3.6734884	5.4936175	4.709626	10.1152725	11.311407	11.681189	13.023327
KW1-S15__k141_3007520	4.9074173	9.679074	7.3432593	7.194775	8.613021	8.604223	8.4866
KW1-S15__k141_9888537	3.4765673	7.387097	2.9851491	4.384906	4.6083994	7.9479003	7.912477
KW1-S08__k141_8860580	10.555598	13.252197	10.7955675	17.341612	14.9071455	18.86473	19.795185
A5-S03__k141_4687453	3.1968722	3.6540937	2.8123276	3.6642134	2.8206072	4.927323	3.7368906
KW1-S21__k141_442772	0.98504984	0.9302326	0.68604654	1.6237541	1.3446844	1.3953488	1.4784054
KW1-S15__k141_3062823	1.3606616	4.320748	2.4171162	4.6040993	4.4893923	6.6778135	4.040273
KW1-S21__k141_6402486	3.1170213	4.731915	2.5390072	2.6865249	1.9900709	2.487234	4.326241
KW1-S08__k141_6792100	27.472816	36.777184	33.61893	77.66845	78.304855	64.32233	63.36796
KW1-S05__k141_7203128	1.988837	3.7061267	4.016355	3.9587228	2.0353062	2.98027	2.7705088
A5-S03__k141_5817018	1.9614538	0	0.30837005	1.5418502	0.92511016	1.8292952	1.2334802
A5-S03__k141_7272263	4.4107885	1.6338174	2.108921	2.0622406	0.9896265	1.2479253	0.8713693
KW1-S11__k141_5591527	6.572785	7.091772	8.46308	11.327004	10.311181	11.877637	12.184599
A5-S03__k141_6240337	4.3623095	2.8872144	3.0087247	3.156726	2.3172588	3.8113897	3.2336612
KW1-S05__k141_2642371	0.5445619	0.31722054	1.3859516	0.5287009	0.84592146	0.95166165	0.84592146
KW1-S08__k141_3810533	2.6585574	3.1032863	2.3452837	4.561673	1.8326931	3.7737942	3.0798123
KW1-S21__k141_2790198	0.42896935	0.2729805	0.25376046	1.4345404	0.36768803	0.96350974	2.8323119
KW1-S05__k141_776169	1.7342957	2.0756927	2.2902849	2.3944597	1.9660554	3.2707765	2.5239954
KW1-S15__k141_1862752	2.8451028	5.211448	3.7635472	6.3152823	3.6266763	4.8872976	5.9867706
KW1-S05__k141_480799	1.1625148	2.4080665	2.5017793	0.826809	1.1625148	0.74733096	2.391459
KW1-S11__k141_6702416	6.8401637	7.0491805	7.889344	4.97541	9.414959	6.1680326	5.9569674
KW1-S21__k141_4217817	13.209519	24.726202	17.184986	27.26055	19.494602	22.740923	23.314034
A5-S04__k141_9917941	3.0141459	2.9499457	2.8944504	2.0843308	1.0712731	2.0729053	2.6507072
KW1-S21__k141_2683894	0.66413665	2.0863378	1.2827325	1.6499051	2.3908918	2.4582543	2.7144213
KW1-S15__k141_6301734	0.48268238	0.7295505	1.128961	1.385409	1.4509948	2.1510684	2.3065586
A5-S04__k141_5681422	1.5555556	1.7355608	2.0919452	0.7345247	0.47138047	1.3211603	1.0137271
KW1-S08__k141_1171245	0.2746032	0.61031747	0.054761905	1.5	0.5555556	0.11111111	0.33333334
A5-S04__k141_8319840	1.7978636	3.435497	0.8052588	1.3508627	0.79622024	1.8118324	2.6458504
A5-S04__k141_333580	10.446286	13.495909	12.118688	18.030346	13.909944	22.478077	17.086645
KW1-S08__k141_6980148	0.3797856	0.47490215	0.8764676	4.5897565	1.5705292	2.5698485	1.476944
KW1-S15__k141_8553520	0.13442151	0.20163226	0.082093135	0.7297168	0.40326452	1.2597215	0.26884302
KW1-S11__k141_2925890	2.5346885	4.863456	4.638091	4.882899	5.947857	4.0671673	4.498895
KW1-S05__k141_8858487	31.615005	69.08857	58.236595	50.39163	44.852135	62.312107	61.852295
KW1-S15__k141_9222762	76.044525	109.778984	80.24228	51.651424	22.206177	59.74007	63.4641
KW1-S08__k141_11026143	0.9423077	1.3778846	0.6855769	2.4076922	0.5259615	1.4096154	0.93365383
KW1-S05__k141_3081586	29.7969	32.030464	26.351683	56.992516	49.158737	42.093	43.615177
