Genome	A5-S04_BDME190026217-1a.sort Relative Abundance (%)
KW1-S21_242_	0.08011317
KW1-S21_260_	0.0447907
KW1-S21_271_	0.0404082
KW1-S21_27_	0.044849493
KW1-S21_28_	0.21822628
KW1-S21_32_	0.094136186
KW1-S21_52_	0.036436133
KW1-S21_6_	0.13523322
KW1-S21_73_	0.03622101
KW1-S21_82_	0.051827244
KW1-S21_85_	0.0863387
