Genome	KW1-S08_BDME190026223-1b.sort Relative Abundance (%)
KW1-S08_236_	0.11107985
KW1-S08_237_	0.055195063
KW1-S08_242_	0.028000915
KW1-S08_24_	0.041589517
KW1-S08_251_	0.055859245
KW1-S08_268_	0.13393112
KW1-S08_280_	0.059938747
KW1-S08_28_	0.04978492
KW1-S08_30_	0.078911684
KW1-S08_46_	0.044758677
KW1-S08_62_	0.046180174
KW1-S08_89_	0.061263587
KW1-S11_103_	0.049476344
KW1-S11_109_	0.06640716
KW1-S11_120_	0.0812794
KW1-S11_124_	0.03882617
KW1-S11_125_	0.06453653
KW1-S11_145_	0.09982971
KW1-S11_146_	0.35345945
KW1-S11_156_	0.08990972
KW1-S11_157_	0.034707393
KW1-S11_15_	0.015413195
KW1-S11_163_	0.08776885
KW1-S11_176_	0.12713833
KW1-S11_179_	0.080880724
KW1-S11_180_	0.08544861
KW1-S11_18_	0.81450963
KW1-S11_190_	0.09348637
KW1-S11_24_	0.060237277
KW1-S11_42_	0.058170125
KW1-S11_65_	0.02838163
KW1-S11_81_	0.09109078
KW1-S11_87_	0.091349445
KW1-S11_89_	0.020380335
KW1-S11_99_	0.04428217
KW1-S15_112_	0.03271987
KW1-S15_114_	0.039441586
KW1-S15_115_	0.043542124
KW1-S15_117_	0.0165288
KW1-S15_126_	0.118974015
KW1-S15_132_	0.08272664
KW1-S15_135_	0.06965348
KW1-S15_137_	0.087676734
KW1-S15_144_	0.11762156
KW1-S15_149_	0.070721805
KW1-S15_14_	0.05674332
KW1-S15_162_	0.045905247
KW1-S15_16_	0.083553255
KW1-S15_183_	0.02265995
KW1-S15_187_	0.117255315
KW1-S15_188_	0.10749606
KW1-S15_197_	0.15442197
KW1-S15_200_	0.056624766
KW1-S15_211_	0.06749055
KW1-S15_215_	0.045824796
KW1-S15_218_	0.061385203
KW1-S15_227_	0.031980224
KW1-S15_234_	0.043427076
KW1-S15_23_	0.06935444
KW1-S15_262_	0.17191282
KW1-S15_266_	0.0675131
KW1-S15_267_	0.039631378
KW1-S15_279_	0.05539684
KW1-S15_293_	0.44917557
KW1-S15_2_	0.057559878
KW1-S15_306_	0.07176591
KW1-S15_31_	0.0859374
KW1-S15_41_	0.045641325
KW1-S15_72_	0.065773495
KW1-S15_75_	0.06761898
KW1-S15_8_	0.12646288
KW1-S15_96_	0.043606296
KW1-S15_97_	0.028560719
KW1-S15_98_	0.085388795
KW1-S21_104_	0.051125143
KW1-S21_115_	0.11662655
KW1-S21_123_	0.04307774
KW1-S21_138_	0.13987316
KW1-S21_141_	0.27320325
KW1-S21_144_	0.016369227
KW1-S21_160_	0.019455696
KW1-S21_168_	0.041610077
KW1-S21_174_	0.08258004
KW1-S21_189_	0.061397623
KW1-S21_193_	0.2430776
KW1-S21_196_	0.15715908
KW1-S21_197_	0.09188588
KW1-S21_231_	0.050229132
KW1-S21_238_	0.08104955
KW1-S21_242_	0.066826634
KW1-S21_260_	0.046493623
KW1-S21_271_	0.06451926
KW1-S21_27_	0.045851965
KW1-S21_28_	0.20526318
KW1-S21_32_	0.11114791
KW1-S21_52_	0.025924223
KW1-S21_6_	0.10784816
KW1-S21_73_	0.037273027
KW1-S21_82_	0.053095274
KW1-S21_85_	0.08762856
