Genome	KW1-S05_BDME190026216-1a.sort Relative Abundance (%)
KW1-S11_42_	0.04883199
KW1-S11_65_	0.025532791
KW1-S11_81_	0.07460222
KW1-S11_87_	0.06629801
KW1-S11_89_	0.0213531
KW1-S11_99_	0.034832582
KW1-S15_112_	0.028758256
KW1-S15_114_	0.029419346
KW1-S15_115_	0.04198881
KW1-S15_117_	0.014349532
KW1-S15_126_	0.13062558
KW1-S15_132_	0.05654862
KW1-S15_135_	0.07375329
KW1-S15_137_	0.06902039
KW1-S15_144_	0.0693968
KW1-S15_149_	0.061393756
KW1-S15_14_	0.043869022
KW1-S15_162_	0.03970027
KW1-S15_16_	0.066722855
KW1-S15_183_	0.022866016
KW1-S15_187_	0.11043504
KW1-S15_188_	0.12525621
KW1-S15_197_	0.15050322
KW1-S15_200_	0.044815693
KW1-S15_211_	0.04383546
KW1-S15_215_	0.040704064
KW1-S15_218_	0.06797369
KW1-S15_227_	0.030483233
KW1-S15_234_	0.058534794
KW1-S15_23_	0.07360239
KW1-S15_262_	0.20144922
KW1-S15_266_	0.04462462
KW1-S15_267_	0.045048695
KW1-S15_279_	0.05302912
KW1-S15_293_	0.5431896
KW1-S15_2_	0.040855493
KW1-S15_306_	0.04924736
KW1-S15_31_	0.06809543
KW1-S15_41_	0.048883166
KW1-S15_72_	0.05842088
KW1-S15_75_	0.06968537
KW1-S15_8_	0.10144867
KW1-S15_96_	0.04745998
KW1-S15_97_	0.027335467
KW1-S15_98_	0.070175916
KW1-S21_104_	0.03829808
KW1-S21_115_	0.09315884
KW1-S21_123_	0.036306012
KW1-S21_138_	0.11323797
KW1-S21_141_	0.19522646
KW1-S21_144_	0.014525194
KW1-S21_160_	0.020583143
KW1-S21_168_	0.03721313
KW1-S21_174_	0.06599808
KW1-S21_189_	0.04688054
KW1-S21_193_	0.21197037
KW1-S21_196_	0.15090714
KW1-S21_197_	0.087050036
KW1-S21_231_	0.046543784
KW1-S21_238_	0.06457551
KW1-S21_242_	0.0743843
KW1-S21_260_	0.06513865
KW1-S21_271_	0.04250746
KW1-S21_27_	0.04232209
KW1-S21_28_	0.21831466
KW1-S21_32_	0.08130528
KW1-S21_52_	0.030168459
KW1-S21_6_	0.12095288
KW1-S21_73_	0.034197662
KW1-S21_82_	0.054506406
KW1-S21_85_	0.06906729
