glpE,Desulfobacterota_D,7
glpE,Chloroflexota,9
glpE,Nitrospinota,2
glpE,Tectomicrobia,3
glpE,Nitrospirota,3
glpE,Actinobacteriota,9
glpE,Methylomirabilota,2
glpE,Myxococcota,1
glpE,Gemmatimonadota,6
phsA,Planctomycetota,4
phsA,Acidobacteriota,2
phsA,Proteobacteria,8
phsA,Tectomicrobia,1
phsA,Gemmatimonadota,2
phsA,SAR324,1
nirA,Planctomycetota,3
nirA,Desulfobacterota_B,5
nirA,Methylomirabilota,1
nirA,Desulfobacterota_D,1
nirA,Acidobacteriota,8
nirA,Myxococcota_A,1
nirA,Chloroflexota,5
nirA,Verrucomicrobiota,1
nirA,Bacteroidota,1
nirA,Nitrospinota,1
nirA,Thermoproteota,3
nirA,Nitrospirota,3
nirA,Proteobacteria,31
nirA,SAR324,8
nirA,Poribacteria,1
TtrAB,Planctomycetota,8
TtrAB,Desulfobacterota_B,4
TtrAB,Methylomirabilota,1
TtrAB,Desulfobacterota_D,6
TtrAB,Acidobacteriota,12
TtrAB,Myxococcota_A,5
TtrAB,Chloroflexota,6
TtrAB,Verrucomicrobiota,1
TtrAB,Bacteroidota,5
TtrAB,Gemmatimonadota,6
TtrAB,Actinobacteriota,3
TtrAB,Thermoproteota,1
TtrAB,Tectomicrobia,1
TtrAB,KSB1,1
TtrAB,Krumholzibacteriota,1
TtrAB,Myxococcota,1
TtrAB,Proteobacteria,32
TtrAB,SAR324,9
