phylum,variable,value
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Actinobacteriota,aprAB,1
Thermoproteota,aprAB,1
KSB1,aprAB,1
Nitrospinota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
SAR324,aprAB,1
Planctomycetota,aprAB,1
Proteobacteria,aprAB,1
Thermoproteota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Planctomycetota,aprAB,1
SAR324,aprAB,1
Gemmatimonadota,aprAB,1
Planctomycetota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Planctomycetota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Desulfobacterota_D,aprAB,1
SAR324,aprAB,1
Bacteroidota,aprAB,1
Planctomycetota,aprAB,1
Planctomycetota,aprAB,1
Chloroflexota,aprAB,1
Desulfobacterota_D,aprAB,1
Acidobacteriota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Acidobacteriota,aprAB,1
Gemmatimonadota,aprAB,1
Acidobacteriota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Planctomycetota,aprAB,1
Bacteroidota,aprAB,1
Acidobacteriota,aprAB,1
Chloroflexota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Desulfobacterota_D,aprAB,1
Nitrospirota,aprAB,1
Proteobacteria,aprAB,1
Thermoproteota,aprAB,1
Proteobacteria,aprAB,1
Planctomycetota,aprAB,1
Actinobacteriota,aprAB,1
Desulfobacterota_D,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Desulfobacterota_B,aprAB,1
Planctomycetota,aprAB,1
Desulfobacterota_B,aprAB,1
Proteobacteria,aprAB,1
Gemmatimonadota,aprAB,1
Gemmatimonadota,aprAB,1
Bacteroidota,aprAB,1
Bacteroidota,aprAB,1
Planctomycetota,aprAB,1
SAR324,aprAB,1
Chloroflexota,aprAB,1
