Genome	A5-S03.filter Relative Abundance (%)	A5-S04.filter Relative Abundance (%)	KW1-S05.filter Relative Abundance (%)	KW1-S08.filter Relative Abundance (%)	KW1-S11.filter Relative Abundance (%)	KW1-S15.filter Relative Abundance (%)	KW1-S21.filter Relative Abundance (%)	average
KW1-S11_146	2.6509612	2.696246	2.7926278	2.4267924	2.8585665	2.737992	2.940885	2.729152986
KW1-S11_156	0.19935282	0.18114895	0.11463298	0.31508946	0.38173482	0.2352056	0.18537052	0.230362164
KW1-S11_157	0.24732628	0.16974442	0.22066902	0.24668412	0.18582064	0.28789404	0.19278483	0.221560479
KW1-S11_15	0.0870987	0.0790362	0.06870844	0.06982465	0.09291431	0.068455175	0.06693155	0.076138432
KW1-S11_163	0.2519558	0.2585683	0.2748183	0.3395444	0.41799572	0.2958178	0.3102003	0.306985803
KW1-S11_176	0.49943948	0.44169113	0.46453723	0.5747049	0.5754685	0.4344653	0.4419147	0.49031732
KW1-S11_179	0.27755842	0.2648611	0.28473473	0.49200705	0.37146237	0.26448357	0.29463822	0.321392209
KW1-S11_180	0.33481494	0.35606438	0.30533433	0.4979385	0.61899376	0.3928385	0.44295645	0.421277266
KW1-S11_18	3.6040578	4.382194	4.1209183	4.2255616	4.4940467	4.110628	4.4009843	4.191198671
KW1-S11_190	0.38678902	0.2850589	0.31394613	0.31113663	0.39449915	0.23121482	0.26539585	0.312577214
KW1-S11_24	0.28514856	0.3520631	0.28416657	0.25579965	0.285268	0.3471383	0.32990313	0.305641044
KW1-S11_42	0.37546673	0.28721675	0.3128892	0.3272894	0.36339563	0.35049975	0.27688143	0.327662699
KW1-S11_65	0.16217591	0.13966529	0.13901947	0.1428867	0.25861862	0.1528936	0.13782921	0.161869829
KW1-S11_81	0.464726	0.49726745	0.52094346	0.6019524	0.5484697	0.5031712	0.51436734	0.521556793
KW1-S11_87	0.2572582	0.26174235	0.23996615	0.34095645	0.53583807	0.36774263	0.34523532	0.335534167
KW1-S11_89	0.09501189	0.084229514	0.1004985	0.07745015	0.12925176	0.090278044	0.07804841	0.093538324
KW1-S11_99	0.17156774	0.099735565	0.11065801	0.13775533	0.19482313	0.155168	0.14171955	0.144489618
KW1-S15_112	0.20178336	0.16669856	0.1884018	0.18768711	0.23028366	0.22444013	0.16900532	0.19547142
KW1-S15_114	0.07720008	0.11035668	0.077788465	0.094912425	0.058379695	0.53847057	0.10356002	0.151523991
KW1-S15_115	0.14835902	0.19808526	0.17692305	0.1621556	0.17737626	0.24646148	0.20752288	0.188126221
KW1-S15_117	0.09044165	0.081964865	0.06970621	0.07328703	0.060105465	0.1022837	0.06883068	0.078088514
KW1-S15_126	0.70282507	0.93870646	0.9253783	0.77155507	0.8031322	0.83067167	0.8443872	0.830950853
KW1-S15_132	0.11418711	0.09660206	0.093856096	0.16811214	0.1475579	0.20421979	0.15199152	0.139503802
KW1-S15_135	0.36827174	0.24527174	0.27449435	0.16977444	0.12140171	0.2091839	0.18457355	0.224710204
KW1-S15_137	0.25352722	0.14657971	0.21120831	0.2259219	0.18724152	0.305557	0.19313587	0.217595933
KW1-S15_144	0.53245825	0.5246418	0.50910556	0.84834677	0.5542015	0.9653591	0.75915575	0.670466961
KW1-S15_149	0.17384842	0.13563742	0.1545558	0.15379544	0.15910056	0.18705085	0.1561133	0.160014541
KW1-S15_14	0.20321421	0.18244289	0.1690879	0.21948433	0.17787494	0.25788435	0.2427737	0.207537474
KW1-S15_162	0.3241382	0.25066498	0.28198546	0.28454986	0.29594934	0.3395136	0.23291402	0.287102209
KW1-S15_16	0.42032492	0.45973998	0.47483552	0.56228775	0.48494503	0.49887365	0.4837451	0.483535993
KW1-S15_183	0.09663269	0.086236686	0.10529993	0.088160336	0.10417797	0.14349283	0.09049455	0.102070713
KW1-S15_187	0.30495813	0.2975525	0.29276642	0.30947343	0.3490524	0.35860077	0.3299403	0.32033485
KW1-S15_188	0.65599644	0.9574729	0.90929174	0.74791557	0.7276001	1.0285641	0.8254584	0.83604275
KW1-S15_197	0.41948617	0.43909	0.45846814	0.48889005	0.47154427	0.499549	0.4756383	0.464666561
KW1-S15_200	0.1938511	0.13430838	0.16527939	0.18383233	0.2776684	0.24248196	0.19022518	0.198235249
KW1-S15_211	0.13933903	0.07337501	0.09013066	0.17875351	0.18243477	0.21974424	0.17922744	0.151857809
KW1-S15_215	0.1262726	0.10481379	0.12636653	0.118412785	0.09399148	0.17843263	0.12725976	0.125078511
KW1-S15_218	0.37449366	0.27881396	0.2936283	0.19157292	0.1602844	0.24893148	0.23113598	0.254122957
KW1-S15_227	0.22800398	0.15777272	0.20914516	0.23508705	0.14004637	0.3043285	0.17569406	0.207153977
KW1-S15_234	0.41549084	0.15651171	0.2855716	0.20267896	0.13824187	0.19071876	0.21350428	0.228959717
KW1-S15_23	0.15154803	0.13680704	0.17298977	0.18731236	0.13969302	0.42922008	0.10538726	0.188993937
KW1-S15_262	1.0353649	1.5260459	1.392922	1.0071567	1.3433207	1.2480806	1.4420952	1.284998
KW1-S15_266	0.5198912	0.30483156	0.37170967	0.5405942	0.5106628	0.42595583	0.3735694	0.43531638
KW1-S15_267	0.18615343	0.2169051	0.2147917	0.12694232	0.1498627	0.2128091	0.17506972	0.183219153
KW1-S15_279	0.20597526	0.24968213	0.27829275	0.23677085	0.2845767	0.3197828	0.2346067	0.258526741
KW1-S15_293	2.3253827	3.128922	3.0632224	2.033133	2.1727822	2.6217637	2.6005394	2.563677914
KW1-S15_2	0.21481758	0.17842112	0.25601903	0.33855182	0.2763833	0.2642481	0.28327847	0.25881706
KW1-S15_306	0.25412205	0.19991174	0.22775866	0.28619304	0.3686405	0.3063279	0.25993952	0.271841916
KW1-S15_31	0.2259572	0.23741122	0.25217116	0.31771368	0.35820404	0.300117	0.28966838	0.283034669
KW1-S15_41	0.21954311	0.26197314	0.21360193	0.17304093	0.16601476	0.23651493	0.21619478	0.21241194
KW1-S15_72	0.29973835	0.35648838	0.31234795	0.3408062	0.25376368	0.2545052	0.35103247	0.309811747
KW1-S15_75	0.2712048	0.23870866	0.3099124	0.24005112	0.2785456	0.28299314	0.2430136	0.266347046
KW1-S15_8	0.49749678	0.45121816	0.46854025	0.5682642	0.5521924	0.51579285	0.47342718	0.503847403
KW1-S15_96	0.1953013	0.23739615	0.21945196	0.15400976	0.1942898	0.29286534	0.19012372	0.211919719
KW1-S15_97	0.04042754	0.022630813	0.025498355	0.012555765	0.009694494	0.19985761	0.015201412	0.046552284
KW1-S15_98	0.33421156	0.297827	0.2793647	0.32212472	0.2869227	0.31825075	0.31415623	0.307551094
KW1-S21_104	0.19883707	0.17785054	0.16415536	0.21845798	0.17292443	0.22255307	0.27583057	0.204372717
KW1-S21_115	0.411416	0.3816186	0.3533505	0.4261208	0.3823413	0.38146198	0.4318595	0.395452669
KW1-S21_123	0.16585787	0.20901845	0.1297861	0.1414759	0.16935854	0.2159996	0.25420472	0.183671597
KW1-S21_138	0.53856736	0.49089044	0.5129528	0.60802966	0.5894841	0.5031783	0.52954715	0.538949973
